claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
R001,Executive summary,mismatched,results/_modal_spend.json,"total_usd=1.1261",$1.3,"Ledger sums to $1.13 not $1.3 rounded; report line 518 also says ~$1.3, ~14% gap"
R002,Executive summary,non_checkable,N/A,N/A,404,"FinLLaMA-instruct 404/unpublished is an external HF-hosting fact; consistent with code_verification.md finding zero FinLLaMA runs"
R003,Executive summary,matched,results/summary/final_table.csv,"TheFinAI/plutus-8B-instruct",8B,"plutus-8B model size label matches roster"
R004,Executive summary,matched,results/summary/final_table.csv,"TheFinAI/plutus-8B-instruct",8B,"plutus-8B model size label matches roster"
R005,Executive summary,matched,results/summary/final_table.csv,"TheFinAI/plutus-8B-instruct",8B,"plutus-8B model size label matches roster"
R006,Executive summary,matched,results/summary/final_table.csv,"mistralai/Mistral-7B-Instruct-v0.3",7B,"Mistral-7B model size label matches roster"
R007,Executive summary,matched,results/summary/final_table.csv,"Qwen/Qwen2.5-7B-Instruct",7B,"Qwen2.5-7B model size label matches roster"
R008,Executive summary,matched,results/summary/final_table.csv,"FPB: mistral7b=0.803>plutus8b=0.6617(0shot A); FiQA: qwen25_7b=0.5785>plutus8b=0.5966(0shot,mixed)/qwen B 0.6727>plutus",8B,"plutus mid-pack; beaten by Mistral on FPB template A and by Qwen on FiQA template B, consistent with claim"
R009,Executive summary,matched,results/summary/final_table.csv,"max template A/B F1 gap = 16.44pt (plutus FiQA 0shot)",16 points,"Computed max template gap across 6 model x dataset 0-shot cells = 16.44pt, rounds to 16"
R010,Executive summary,matched,results/summary/ensemble_table.csv,"cv_weighted mean ens_cov across 6 cells = 0.9956",100%,"CV-weighted coverage ~99.6%, rounds to ~100% as claimed"
R011,Executive summary,matched,results/summary/final_table.csv,"n_samples=300 for all LLM sentiment cells",300,"LLM sentiment subsamples are 300 per artifact map and final_table.csv"
R012,Executive summary,matched,results/summary/ner_table.csv,"n_total=98 for FIN dataset",98,"FIN/Alvarado NER set n_total=98 matches"
R013,Executive summary,matched,results/summary_ner/final_table_ner.csv,"n=300 for FiNER-ORD track",300,"FiNER-ORD NER n=300 (re-evaluated master table)"
R014,Background,non_checkable,N/A,N/A,100%,"FPB AllAgree subset label (2264 sentences) is a published external dataset fact, not in repo artifacts"
R015,Background,non_checkable,N/A,N/A,75%,"FPB 75Agree subset label (3453 sentences) is external dataset fact; corroborated qualitatively by gotcha_audit.md (n_test=int(3453*0.20)=690)"
R016,Background,non_checkable,N/A,N/A,66%,"FPB 66Agree subset label (4217 sentences) is external published dataset fact, not in repo artifacts"
R017,Background,non_checkable,N/A,N/A,50%,"FPB 50Agree subset label (4846 sentences) is external published dataset fact, not in repo artifacts"
R018,Background,matched,results/summary/fpb_agreement_comparison.csv,"n_75agree=690 for all FPB runs",75%,"75%-agreement split confirmed as reporting basis, 690 test sentences"
R019,Background,matched,results/summary/fpb_agreement_comparison.csv,"n_75agree=690",690,"690 test sentences confirmed across all FPB rows"
R020,Background,non_checkable,N/A,N/A,20%,"20% holdout fraction is a split-config fact; gotcha_audit.md confirms int(3453*0.20)=690 consistent with claim"
