claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
D001,Slide 1,matched,review/evidence/deck_main_dump.md,"Implementation Presentation  ·  30 min","30 min",Matches deck dump verbatim slide 1 subtitle.
D002,Slide 2,matched,review/evidence/deck_main_dump.md,"5-7 min","7 min",Agenda item 1 timing matches deck dump.
D003,Slide 2,matched,review/evidence/deck_main_dump.md,"8-10 min","10 min",Agenda item 2 timing matches deck dump.
D004,Slide 2,matched,review/evidence/deck_main_dump.md,"10-12 min","10",Agenda item 3 timing lower bound matches deck dump.
D005,Slide 2,matched,review/evidence/deck_main_dump.md,"10-12 min","12 min",Agenda item 3 timing upper bound matches deck dump.
D006,Slide 2,matched,review/evidence/deck_main_dump.md,"3-5 min","5 min",Agenda item 4 timing matches deck dump.
D007,Slide 4,matched,project_plan.md,"5 models: plutus-8B focal, Mistral-7B, Qwen2.5-7B, FinBERT, VADER","7-8B general-purpose LLMs (Mistral, Qwen2.5)",Mistral-7B and Qwen2.5-7B are both 7B per model table; consistent with 7-8B range wording.
D008,Slide 5,matched,project_plan.md,TheFinAI/plutus-8B-instruct 8B financial-tuned model per plan/model table,"8B financial-instruction-tuned model",Model table (Slide 9 dump) lists plutus-8B-instruct as 8B LLaMA-3 4-bit.
D009,Slide 5,matched,project_plan.md,TheFinAI/plutus-8B-instruct 8B financial-tuned model per plan/model table,"8B financial-instruction-tuned model",Duplicate of D008 same sentence context.
D010,Slide 5,matched,project_plan.md,"LLaMA-3 8B architecture noted for plutus-8B in Slide 9 model table","LLaMA-3 8B",Consistent with model table cell 'LLaMA-3, 4-bit'.
D011,Slide 8,matched,src/data_loader.py,"sentences_75agree config used; FPB test size 690 in final_table.csv","690 test (sentences_75agree)",final_table.csv rows show FPB n_samples=690 for baselines; loader uses 75Agree suffix.
D012,Slide 8,non_checkable,review/evidence/deck_main_dump.md,"Annotator agreement >= 75% -- clean test signal (qualitative note)","75%",Descriptive/qualitative note about the dataset's known annotation methodology, not a computed metric.
D013,Slide 8,matched,src/data_loader.py,"neutral_band: float = 0.10 with score < -neutral_band / > neutral_band thresholds","0.10",load_fiqa uses neutral_band=0.10 exactly as stated.
D014,Slide 8,matched,results/summary/final_table.csv,"LLM rows have n_samples=300; baseline rows have n_samples=690/1173 (full test sets)","300",Confirms 300-sample LLM subsample vs full-set baselines exactly.
D015,Slide 8,non_checkable,project_plan.md,"FPB published 2014, FiQA 2018 -- pretraining-leakage reasoning (qualitative)","7-12 years",Qualitative leakage-risk reasoning about external dataset/model release dates, not a computed artifact value.
