claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
R204,7. Results — NER,non_checkable,report/report.md,"Mistral-v0.1: 0.00",0.00,"Cites paper's Mistral-v0.1 external number reported verbatim in report table"
R205,7. Results — NER,matched,results/summary/ner_table.csv,"model=plutus8b; TheFinAI/plutus-8B-instruct",8B,"Row identifies plutus-8B-instruct model correctly"
R206,7. Results — NER,matched,results/summary/ner_table.csv,micro_f1=0.1068,0.107,"0.1068 rounds to 0.107 as printed in report Table (FIN dataset)"
R207,7. Results — NER,matched,results/summary/ner_table.csv,coverage=1.0,1.00,"plutus-8B FIN coverage 1.0 matches"
R208,7. Results — NER,non_checkable,report/report.md,"FinLLaMA-instruct: 0.57",0.57,"External paper citation, quoted correctly in report Table 7 analog"
R209,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,"plutus strict_f1=0.3649 (lowest); coverage=0.8533",8B,"plutus-8B is lowest strict-F1 LLM on FiNER-ORD and only one with coverage<1.0"
R210,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,coverage=0.8533,0.853,"0.8533 rounds to 0.853 as stated"
R211,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,coverage=0.8533,0.853,"Duplicate coverage figure confirmed same row"
R212,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,"gliner_small f1=0.5942/large=0.5605 > mistral=0.5352 & qwen3_4b=0.4936",4B,"GLiNER beats Mistral and Qwen3-4B on FiNER-ORD confirmed"
R213,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,"qwen25=0.6279, qwen3_8b=0.6027 both > GLiNER",8B,"GLiNER loses only to Qwen2.5 and Qwen3-8B, as claimed"
R214,7. Results — NER,matched,results/summary/ner_table.csv,"qwen25_7b micro_f1=0.1598",0.160,"0.1598 rounds to 0.160, best FIN LLM score"
R215,7. Results — NER,non_checkable,report/report.md,"FinLLaMA-instruct: 0.57 (paper)",0.57,"External paper citation repeated correctly"
R216,7. Results — NER,matched,results/summary/ner_table.csv,n_total=98,98,"FIN dataset n=98 confirmed in ner_table.csv"
R217,7. Results — NER,matched,results/summary/ner_table.csv,"mistral7b v0.3 micro_f1=0.1529 vs paper v0.1=0.00 -> ~15.3pt gap",15 points,"0.1529-0.00 = 15.3 points, rounds to '15 points' as stated"
R218,7. Results — NER,non_checkable,report/report.md,"paper's Mistral-v0.1: 0.00",0.00,"External paper citation, quoted correctly"
R219,7. Results — NER,matched,results/summary/ner_table.csv,mistral7b micro_f1=0.1529,0.153,"0.1529 rounds to 0.153 as stated in report"
R220,8. Error analysis,matched,results/summary/focal_error_sample.csv,"run_id=plutus8b__FPB...",8B,"Section is plutus-8B FPB error analysis, confirmed by run_id prefix"
R221,8. Error analysis,matched,results/summary/focal_error_sample.csv,"30 data rows total",30,"focal_error_sample.csv has exactly 30 hand-tagged rows"
R222,8. Error analysis,matched,results/summary/focal_error_sample.csv,"missed_positive_cue count=15",15,"15 rows tagged missed_positive_cue, matches Table 8"
R223,8. Error analysis,matched,results/summary/focal_error_sample.csv,"15/30 = 50%",50%,"15 of 30 = 50%, matches Table 8 percentage"
R224,8. Error analysis,matched,results/summary/focal_error_sample.csv,"8/30 = 26.7%",27%,"8 of 30 = 26.7%, rounds to 27% as printed"
R225,8. Error analysis,matched,results/summary/focal_error_sample.csv,"FPB_00462 text contains '3.7 mln euro'",3.7,"Value 3.7 present in numerical_reasoning example text"
R226,8. Error analysis,matched,results/summary/focal_error_sample.csv,"FPB_01472 text contains 'EUR 17.7 mn'",17.7,"Value 17.7 present in numerical_reasoning example text"
R227,8. Error analysis,matched,results/summary/focal_error_sample.csv,"FPB_01472 text contains 'EUR 17.6 mn'",17.6,"Value 17.6 present in numerical_reasoning example text"
R228,8. Error analysis,matched,results/summary/focal_error_sample.csv,"factual_neutral_misclassed count=6, 6/30=20%",20%,"6 of 30 = 20%, matches Table 8"
R229,8. Error analysis,matched,results/summary/focal_error_sample.csv,"ambiguous count=1, 1/30=3.3%",3%,"1 of 30 = 3.3%, rounds to 3% as printed"
R230,9. Critical assessment,matched,report/report.md,"plutus-8B is a substitute, not FinLLaMA-instruct (line 375-377)",8B,"Qualitative disclaimer verified verbatim in report §9"
R231,9. Critical assessment,matched,report/report.md,"300-sentence sentiment subsamples and 98-300 NER items (line 378-380)",300,"Matches final_table.csv n=300 LLM cells for FPB"
R232,9. Critical assessment,matched,results/summary/ner_table.csv,n_total=98 (FIN dataset),98,"FIN dataset item count 98 confirmed"
R233,9. Critical assessment,matched,results/summary/final_table.csv,"LLM cells n=300 for FPB",300,"Duplicate of R231, same 300-sample LLM subsample fact"
R234,9. Critical assessment,matched,results/summary/bootstrap_ci.csv,"FPB LLM halfwidths 0.0391/0.0467/0.0481; FiQA 0.0504/0.0521/0.0533 (avg ~0.048)",300,"300-sample LLM run count backing the CI halfwidth claim"
R235,9. Critical assessment,matched,results/summary/bootstrap_ci.csv,"halfwidths range 0.0391-0.0533, avg ~0.048",0.045,"~0.045 is a reasonable rounded approximation of observed halfwidths"
R236,9. Critical assessment,matched,report/report.md,"'two-model differences under ~0.06-0.09 F1 are not significant' (line 393)",0.06,"Verbatim threshold quoted in report, consistent with CI halfwidths ~0.045"
R237,9. Critical assessment,matched,report/report.md,"'two-model differences under ~0.06-0.09 F1 are not significant' (line 393)",0.09,"Verbatim threshold quoted in report, consistent with CI halfwidths ~0.045"
